username,date,content,video_title
@semihayank3289,5 years ago,with Blackout and ITZ,Madonna - Jump (Official Video) [HD]
@charleneclark-i2o,1 year ago,"​ @coach6662 
I never seen the film. What's the film called?",Madonna - Crazy For You (Official Video)
@MrMauriziosalerno,1 month ago,February 2026,Madonna - Secret (Official Video) [HD]
@veliathebug5740,3 years ago,Same,Madonna - Back That Up To The Beat (Official Lyric Video)
@gustavogregatti3031,4 years ago,Justify My Love please,Madonna - Secret (Official Video) [HD]
@mehmetbudak9381,3 months ago,Froom turkey yesss,Madonna - La Isla Bonita (Official Video)
@pleple716,3 years ago,She passed 53 a decade ago,Madonna - 2012 Super Bowl Halftime Show
@ArthurBadin,3 months ago,"In Brazil it still gets overairplayed by AC radios, just like Take a Bow, Live to Tell, Crazy for You, Rain, Love Don't Live Here Anymore, and, well, even Pray for Spanish Eyes - the only place in the world it's been played on radios since forever.",Madonna - You'll See (Official Video)
@ReadyFreddie7,6 years ago,Madonna always said this and 'Like A Virgin' were meant to be ironic!,Madonna - Material Girl (Official Video) [HD]
@αρτιαννα,2 years ago,So fierce ❤,Madonna - Vogue (MDNA World Tour)
@Anyo31,1 month ago,February 2026,Madonna - Vogue (Live at the MTV Awards 1990) [Official Video]
@TridentStocktrader,8 days ago (edited),40 yrs already 😮...time flew soo fast,Madonna - La Isla Bonita (Official Video)
